Date,Open,High,Low,Close,Volume
2023-09-11,87.15,87.24,86.08,86.85,8272800
2023-09-12,86.12,86.43,85.11,85.27,12243000
2023-09-13,85.24,85.94,85.00,85.49,10008800
2023-09-14,86.01,86.32,85.47,86.11,9473200
2023-09-15,85.79,85.82,84.22,84.45,13116800
2023-09-18,84.03,84.96,84.00,84.68,9943800
2023-09-19,84.32,84.85,83.86,84.63,8236600
2023-09-20,84.86,84.97,83.26,83.30,10760400
2023-09-21,82.43,83.01,81.99,82.03,14741200
2023-09-22,82.39,82.96,82.02,82.21,12537800
2023-09-25,82.00,82.60,81.79,82.47,10577400
2023-09-26,81.93,81.97,80.71,80.99,14926000
2023-09-27,81.38,81.54,80.31,81.11,11665200
2023-09-28,80.72,82.21,80.35,81.68,12829400
2023-09-29,82.49,83.25,81.68,81.96,15883800
2023-10-02,82.00,83.08,81.88,82.85,13656200
2023-10-03,82.38,82.94,81.02,81.44,14838800
2023-10-04,81.50,82.68,81.50,82.46,15194200
2023-10-05,82.45,82.70,81.57,82.57,12023000
2023-10-06,82.00,84.47,81.76,84.11,16625600
2023-10-09,83.60,84.68,83.21,84.54,13139200
2023-10-10,84.61,85.36,84.37,84.68,20402800
2023-10-11,84.93,85.50,84.67,85.46,10389200
2023-10-12,85.54,86.42,84.89,85.54,15405800
2023-10-13,85.71,85.86,84.02,84.32,15183200
2023-10-16,84.46,85.51,84.44,85.12,14544200
2023-10-17,84.06,85.17,83.45,84.73,15317800
2023-10-18,84.14,84.82,83.51,83.86,12862800
2023-10-19,84.19,84.76,83.24,83.38,19991800
2023-10-20,83.34,83.40,81.89,81.97,15350400
2023-10-23,81.46,82.90,81.00,82.07,15159000
2023-10-24,82.39,82.75,81.74,82.63,11180400
2023-10-25,83.03,83.12,81.41,81.65,15529600
2023-10-26,81.80,82.16,79.75,80.10,20646400
2023-10-27,80.58,81.38,80.21,80.56,16231600
2023-10-30,80.99,81.71,80.74,81.43,14180800
2023-10-31,81.46,82.07,80.83,82.00,10893600
2023-11-01,82.15,83.70,82.15,83.59,20945800
2023-11-02,84.35,85.08,84.23,85.00,16192600
2023-11-03,84.92,86.22,84.74,85.88,15661800
2023-11-06,86.00,86.47,85.72,86.44,11099200
2023-11-07,86.68,87.64,86.54,87.39,13029800
2023-11-08,87.69,88.03,87.29,87.89,10722400
2023-11-09,88.01,88.66,87.36,87.47,14374600
2023-11-10,88.00,89.82,87.90,89.76,13346400
2023-11-13,89.39,89.46,88.86,89.24,11725000
2023-11-14,90.60,91.25,90.32,91.02,16508400
2023-11-15,91.43,91.57,90.79,91.14,13147800
2023-11-16,90.96,91.69,90.79,91.59,11553600
2023-11-17,91.39,91.75,91.00,91.40,13277800
2023-11-20,91.51,92.96,91.50,92.72,11116200
2023-11-21,92.31,92.45,91.64,91.97,13350800
2023-11-22,92.56,93.18,92.14,92.39,11213400
2023-11-24,92.23,92.31,91.86,92.21,4193800
2023-11-27,92.07,92.74,91.91,92.20,8420000
2023-11-28,91.89,92.62,91.89,92.38,11012400
2023-11-29,93.05,93.45,92.39,92.44,10765400
2023-11-30,92.83,92.96,91.81,92.58,13744000
2023-12-01,92.34,92.96,91.89,92.79,13992200
2023-12-04,91.86,91.86,90.66,91.66,18221800
2023-12-05,91.17,92.32,91.17,92.21,10841400
2023-12-06,92.79,92.92,91.36,91.43,14731400
2023-12-07,91.86,92.69,91.67,92.54,13928800
2023-12-08,92.34,93.40,92.22,93.33,12808800
2023-12-11,93.06,94.17,92.84,94.14,37795400
2023-12-12,93.80,94.80,93.72,94.77,15055400
2023-12-13,95.00,95.83,94.77,95.61,29395000
2023-12-14,95.68,96.04,94.67,95.37,15427400
2023-12-15,95.27,96.40,95.27,95.85,18131200
2023-12-18,95.62,96.14,95.21,95.93,10138000
2023-12-19,95.90,96.30,95.85,96.29,9003600
2023-12-20,96.18,96.52,94.82,94.83,13734800
2023-12-21,95.80,96.11,95.10,95.90,11336000
2023-12-22,96.18,96.31,95.55,96.03,10215000
2023-12-26,96.08,96.62,96.08,96.43,6207600
2023-12-27,96.47,96.62,96.01,96.42,11764600
2023-12-28,96.76,96.86,96.49,96.54,9615400
2023-12-29,96.58,96.78,95.76,96.24,12190600
2024-01-02,94.93,95.08,93.12,93.72,23545400
2024-01-03,92.86,93.38,92.60,92.76,18190000
2024-01-04,92.19,92.83,92.00,92.08,12127200
2024-01-05,92.19,92.86,91.71,92.06,16350600
2024-01-08,92.53,94.43,92.43,94.37,16434600
2024-01-09,93.64,94.79,93.44,94.52,10633800
2024-01-10,94.57,95.53,94.36,95.32,9785400
2024-01-11,95.79,96.28,94.46,95.81,13296600
2024-01-12,95.96,96.34,95.64,96.12,8834600
2024-01-16,96.00,96.76,95.44,96.36,11775600
2024-01-17,95.64,96.00,94.85,95.89,14109000
2024-01-18,97.17,97.92,96.80,97.83,18918800
2024-01-19,98.47,100.11,98.25,100.08,18333200
2024-01-22,100.57,101.14,100.14,100.53,14969000
2024-01-23,100.62,101.00,100.04,100.93,13263800
2024-01-24,101.62,102.64,101.33,101.62,17651200
2024-01-25,102.56,103.07,101.58,102.05,17071400
2024-01-26,101.33,101.79,100.64,100.88,10553000
2024-01-29,101.00,101.82,100.80,101.80,7639600
2024-01-30,101.76,101.92,100.65,100.96,12251600
2024-01-31,100.00,100.41,98.79,98.84,16295200
2024-02-01,99.24,100.22,99.17,100.08,14303400
2024-02-02,99.40,101.44,99.38,101.12,12872200
2024-02-05,101.53,101.64,100.40,101.35,10086200
2024-02-06,101.46,101.64,100.24,100.89,12677200
2024-02-07,101.60,102.25,101.19,102.22,11365800
2024-02-08,102.39,102.82,102.27,102.54,9948200
2024-02-09,102.97,104.06,102.85,103.92,11612200
2024-02-12,103.92,104.24,102.98,103.13,10753200
2024-02-13,100.89,102.06,100.59,101.38,19459400
2024-02-14,102.14,102.52,101.42,102.44,11791600
2024-02-15,102.57,102.68,101.65,102.22,10796400
2024-02-16,102.50,102.71,101.15,101.29,11090400
2024-02-20,100.69,101.05,99.25,100.25,17447600
2024-02-21,99.29,99.62,98.54,99.62,15954400
2024-02-22,102.20,103.17,101.96,102.89,18551600
2024-02-23,103.70,103.83,102.32,102.64,12324000
2024-02-26,103.10,103.35,102.64,102.75,18248800
2024-02-27,103.03,103.03,102.07,102.83,9984400
2024-02-28,102.50,102.63,101.98,102.35,8329000
2024-02-29,102.89,103.74,102.32,103.49,11986800
2024-03-01,103.75,105.53,103.71,105.38,13136800
2024-03-04,105.23,105.99,105.00,105.38,20443800
2024-03-05,104.34,104.39,102.12,102.79,18042800
2024-03-06,103.86,104.39,102.91,103.61,14303200
2024-03-07,104.49,105.56,103.97,105.24,12120800
2024-03-08,105.43,106.18,103.61,103.68,14912200
2024-03-11,103.20,103.62,102.64,103.39,15648400
2024-03-12,104.39,105.52,103.39,105.51,17382800
2024-03-13,105.19,105.25,103.93,104.37,12815400
2024-03-14,104.81,105.18,103.75,104.39,16023200
2024-03-15,102.89,103.36,102.39,102.82,19633400
2024-03-18,103.54,104.21,103.07,103.15,14176600
2024-03-19,102.64,103.70,102.13,103.68,13390200
2024-03-20,103.76,104.88,103.40,104.85,13357400
2024-03-21,105.96,105.96,104.83,104.92,12312000
2024-03-22,104.93,105.34,104.55,104.96,11507000
2024-03-25,103.96,104.71,103.66,104.26,8777800
2024-03-26,104.64,104.81,103.75,103.83,8538400
2024-03-27,104.49,104.54,103.56,104.36,12495000
2024-03-28,104.11,104.43,103.93,104.14,8854400
2024-04-01,104.36,105.04,104.04,104.43,11654800
2024-04-02,103.26,103.57,102.58,103.42,11418200
2024-04-03,102.90,104.23,102.88,103.69,10670000
2024-04-04,104.68,105.05,102.00,102.06,16464800
2024-04-05,102.50,103.75,102.21,103.22,12808800
2024-04-08,103.29,103.63,102.72,103.11,8125800
2024-04-09,103.64,103.85,102.33,103.62,9400800
2024-04-10,102.44,102.74,101.92,102.36,13836800
2024-04-11,102.81,104.57,102.32,104.40,10563600
2024-04-12,103.15,103.64,102.33,102.71,16186800
2024-04-15,103.34,103.40,100.61,100.76,17189000
2024-04-16,100.98,101.50,100.48,100.88,14914000
2024-04-17,101.25,101.42,99.35,99.43,13090400
2024-04-18,99.39,99.65,98.18,98.29,15280600
2024-04-19,97.92,98.24,96.02,96.26,21880000
2024-04-22,97.00,97.71,96.04,97.12,13293400
2024-04-23,97.53,98.71,97.39,98.57,12151600
2024-04-24,99.29,99.71,98.47,99.01,9160200
2024-04-25,97.78,98.99,97.35,98.80,11568000
2024-04-26,99.58,100.64,99.19,99.92,10104200
2024-04-29,100.43,100.58,99.76,100.35,7494800
2024-04-30,100.00,100.40,98.11,98.14,14929000
2024-05-01,97.61,99.25,97.11,97.13,20453600
2024-05-02,98.37,98.67,97.13,98.53,13340000
2024-05-03,101.19,101.61,100.83,101.28,13316400
2024-05-06,101.66,102.46,101.50,102.46,8021000
2024-05-07,102.76,102.82,102.12,102.13,10020800
2024-05-08,101.76,102.53,101.74,102.42,7176000
2024-05-09,102.25,102.47,101.88,102.39,9589600
2024-05-10,102.93,103.39,102.44,102.77,8753800
2024-05-13,103.53,103.61,102.93,103.25,6582000
